paper_name,paper_name_fetched,paper_abstract_fetched,verified,topic_directory,downloaded_file,note
The UNIX Time-Sharing System,365 Electronic version recreated by Eric A. Brewer University of California at Berkeley Communications July 1974 of Volume 17 the ACM Number 7,"UNIX is a general-purpose, multi-user, interactive operating system for the Digital Equipment Corporation PDP-11/40 and 11/45 computers. It offers a number of features seldom found even in larger operating systems, including: (1) a hierarchical file system incorporating demountable volumes; (2) compatible file, device, and inter-process I/O; (3) the ability to initiate asynchronous processes; (4) system command language selectable on a per-user basis; and (5) over 100 subsystems including a dozen languages. This paper discusses the nature and implementation of the file system and of the user command interface.",true,introduction,the_unix_time_sharing_system.pdf,
A History and Evaluation of System R,A History and Evaluation of System R,"System R, an experimental database system, was constructed to demonstrate that the usability advantages of the relational data model can be realized in a system with the complete function and high performance required for everyday production use. This paper describes the three principal phases of the System R project and discusses some of the lessons learned from System R about the design of relational systems and database systems in general. representation for the information; indeed, the representation of a given fact may change over time without users being aware of the change. The relational data model was proposed by E.F. Codd [22] in 1970 as the next logical step in the trend toward data independence. Codd observed that conventional database systems store information in two ways: (1) by the contents of records stored in the database, and (2) by the ways in which these records are connected together. Different systems use various names for the connections among records, such as links, sets, chains, parents, etc. For example, in Figure l(a), the fact that supplier Acme supplies bolts is repreCommunications of the ACM sented by connections between the relevant part and supplier ",true,databases,a_history_and_evaluation_of_system_r.pdf,"page 1 begins with the ""COMPUTING PRACTICES"" journal header"
The Design and Implementation of INGRES,The Design and Implementation of INGRES,"The currently operational (March 1976) version of the INGRES database management system is described. This multiuser system gives a relational view of data, supports two high level nonprocedural data sublanguages, and runs as a collection of user processes on top of the UNIX operating system for Digital Equipment Corporation PDP 11/40, 11/45, and 11/70 computers. Emphasis is on the design decisions and tradeoffs related to (1) structuring the system into processes, (2) embedding one command language in a general purpose programming language, (3) the algorithms implemented to process interactions, (4) the access methods implemented, (5) the concurrency and recovery control currently provided, and (6) the data structures used for system catalogs and the role of the database administrator. Also discussed are (1) support for integrity constraints (which is only partly operational), (2) the not yet supported features concerning views and protection, and (3) future plans concerning the system.",true,databases,the_design_and_implementation_of_ingres.pdf,title is split across columns in the scan; transcribed from the PDF
ARIES: A Transaction Recovery Method Supporting Fine-Granularity Locking and Partial Rollbacks Using Write-ahead Logging,ARIES: A Transaction Recovery Method Supporting Fine-Granularity Locking and Partial Rollbacks Using Write-Ahead Logging C. MOHAN IBM Almaden Research Center,"In this paper we present a simple and Semantics), and efficient method, called ARIES ( Algorithm for Recouery which supports partial rollbacks of transactions, finegranularity (e. g., record) locking and recovery using write-ahead logging (WAL). We introduce history to redo all missing updates before performing the rollbacks of the paradigm of repeating the loser transactions during restart after a system failure. ARIES uses a log sequence number in each page to correlate the state of a page with respect to logged updates of that page. All updates of a transaction are logged, including those performed during rollbacks. By appropriate chaining of the log records written during rollbacks to those written during forward progress, a bounded amount of logging is ensured during rollbacks even in the face of repeated failures during restart or of nested rollbacks We deal with a variety of features that are very Important transaction processing system ARIES supports in building and operating an industrial-strength fuzzy checkpoints, selective and deferred restart, fuzzy image copies, media recovery, and high concurrency lock modes (e. g., increment /decrement) which exploit the semantics o",true,databases,aries_a_transaction_recovery_method_supporting_fine_granularity_locking_and_partial_rollba.pdf,
A Fast File System for UNIX,"A Fast File System for UNIX* Marshall Kirk McKusick, William N. Joy†, Samuel J. Leffler‡, Robert S. Fabry Computer Systems Research Group","A reimplementation of the UNIX file system is described. The reimplementation provides substantially higher throughput rates by using more flexible allocation policies that allow better locality of reference and can be adapted to a wide range of peripheral and processor characteristics. The new file system clusters data that is sequentially accessed and provides two block sizes to allow fast access to large files while not wasting large amounts of space for small files. File access rates of up to ten times faster than the traditional UNIX file system are experienced. Long needed enhancements to the programmers’ interface are discussed. These include a mechanism to place advisory locks on files, extensions of the name space across file systems, the ability to use long file names, and provisions for administrative control of resource usage. Revised February 18, 1984 CR Categories and Subject Descriptors: D.4.3 [Operating Systems]: File Systems Management − file organization, directory structures, access methods; D.4.2 [Operating Systems]: Storage Management − allocation/deallocation strategies, secondary storage devices; D.4.8 [Operating Systems]: Performance − measurements, operatio",true,file_systems,a_fast_file_system_for_unix.pdf,
The Design and Implementation of a Log-Structured File System,"The Design and Implementation of a Log-Structured File System Mendel Rosenblum and John K. Ousterhout Electrical Engineering and Computer Sciences, Computer Science Division","This paper presents a new technique for disk storage management called a log-structured file system. A logstructured file system writes all modifications to disk sequentially in a log-like structure, thereby speeding up both file writing and crash recovery. The log is the only structure on disk; it contains indexing information so that files can be read back from the log efficiently. In order to maintain large free areas on disk for fast writing, we divide the log into segments and use a segment cleaner to compress the live information from heavily fragmented segments. We present a series of simulations that demonstrate the efficiency of a simple cleaning policy based on cost and benefit. We have implemented a prototype logstructured file system called Sprite LFS; it outperforms current Unix file systems by an order of magnitude for small-file writes while matching or exceeding Unix performance for reads and large writes. Even when the overhead for cleaning is included, Sprite LFS can use 70% of the disk bandwidth for writing, whereas Unix file systems typically can use only 5-10%.",true,file_systems,the_design_and_implementation_of_a_log_structured_file_system.pdf,
Granularity of Locks and Degrees of Consistency in a Shared Database,Granularity of Locks and Degrees of Consistency in a Shared Data Base,"The problem of choosing the appropriate Hranularit~ (size) of lockable objects is introduced and the tradeoff between concurrency and overhead is discusseS. A locking protocol which allows simultaneous locking at various granularities by different transactions is presented. It is based on the introduction of additional lock modes besides the conventional share mode an5 exclusive mode. A proof is given of the equivalence of this protocol to a conventional one. Next the issue of consistency in a shared environment is analyze~. This discussion is motivated by the realization that some existing data base systems use automatic lock protocols which insure protection only from certain types of inconsistencies (for instance those arising from transaction backup), thereby automatically providing a limited degree of consistency. Four ~ S ~ ~ consistency are introduced. They can be roughly characterized as follows: degree 0 protects others from your updates, degree I additionally provides protection from losing updates, degree 2 additionally provides protection from reading incorrect data iteas, and degree 3 additionally provides protection from reading incorrect relationships among data item",true,transactions,granularity_of_locks_and_degrees_of_consistency_in_a_shared_database.pdf,"PDF renders the title as ""Shared Data Base""; page 1 carries the book citation header"
Principles of Transaction-Oriented Database Recovery,,,false,transactions,,"server returned CalNet login page, not the PDF (Berkeley auth required); download rejected: Berkeley CalNet login page, not a PDF. Only open-access copy is dl.acm.org, which blocks non-browser clients; needs manual retrieval"
Microkernel Operating System Architecture and Mach,,,false,os_classics,,"server returned CalNet login page, not the PDF (Berkeley auth required); download rejected: Berkeley CalNet login page, not a PDF. No public copy of this 1992 Rashid paper was found; needs manual retrieval"
Exokernel: An Operating System Architecture for Application-Level Resource Management,"Exokernel: An Operating System Architecture for Application-Level Resource Management Dawson R. Engler, M. Frans Kaashoek, and James O’Toole Jr","Traditional operating systems limit the performance, flexibility, and functionality of applications by fixing the interface and implementation of operating system abstractions such as interprocess communication and virtual memory. The exokernel operating system architecture addresses this problem by providing application-level management of physical resources. In the exokernel architecture, a small kernel securely exports all hardware resources through a lowlevel interface to untrusted library operating systems. Library operating systems use this interface to implement system objects and policies. This separation of resource protection from management allows application-specific customization of traditional operating system abstractions by extending, specializing, or even replacing libraries. We have implemented a prototype exokernel operating system. Measurements show that most primitive kernel operations (such as exception handling and protected control transfer) are ten to 100 times faster than in Ultrix, a mature monolithic UNIX operating system. In addition, we demonstrate that an exokernel allows applications to control machine resources in ways not possible in traditional op",true,os_classics,exokernel_an_operating_system_architecture_for_application_level_resource_management.pdf,
